,Artist,Rating,Song,Year
82,Billy Vaughn,83,A Swingin’ Safari,1962
83,Dick and Deedee,84,Tell Me,1962
84,Jimmy Dean,85,P.T. 109,1962
85,Dion,86,Little Diane,1962
86,Billy Joe and The Checkmates,87,Percolator (Twist),1962
87,Gary U.S. Bonds,88,"Twist, Twist Senora",1962
88,Jimmy Soul,89,Twistin’ Matilda,1962
89,Dee Dee Sharp,90,Gravy,1962
90,Jimmy Smith,91,Walk On The Wild Side,1962
91,King Curtis,92,Soul Twist,1962
92,Bobby Rydell,93,I’ll Never Dance Again,1962
93,Ikettes,94,I’m Blue,1962
94,Kingston Trio,95,Where Have All The Flowers Gone,1962
95,Eddie Hodges,96,"(Girls, Girls, Girls) Were Made To Love",1962
96,Gene Pitney,97,Town Without Pity,1962
97,"Peter, Paul and Mary",98,If I Had A Hammer,1962
98,Ronnie and The Hi-lites,99,I Wish That We Were Married,1962
99,Beach Boys,100,Surfin’ Safari,1962
0,Jimmy Gilmer and The Fireballs,1,Sugar Shack,1963
1,Beach Boys,2,Surfin’ U.S.A.,1963
2,Skeeter Davis,3,The End Of The World,1963
3,Cascades,4,Rhythm Of The Rain,1963
4,Chiffons,5,He’s So Fine,1963
5,Bobby Vinton,6,Blue Velvet,1963
6,Paul and Paula,7,Hey Paula,1963
7,Little Stevie Wonder,8,Fingertips II,1963
8,Village Stompers,9,Washington Square,1963
9,Impressions,10,It’s All Right,1963
10,Andy Williams,11,Can’t Get Used To Losing You,1963
11,Angels,12,My Boyfriend’s Back,1963
12,Kyu Sakamoto,13,Sukiyaki,1963
13,Lesley Gore,14,She’s A Fool,1963
14,Tymes,15,So Much In Love,1963
15,"Peter, Paul and Mary",16,Puff (The Magic Dragon),1963
16,"Peter, Paul and Mary",17,Blowin’ In The Wind,1963
17,Dale and Grace,18,I’m Leaving It Up To You,1963
18,Nino Tempo and April Stevens,19,Deep Purple,1963
19,The Surfaris,20,Wipe Out,1963
20,Al Martino,21,I Love You Because,1963
21,Rebels,22,Wild Weekend,1963
22,Bobby Darin,23,You’re The Reason I’m Living,1963
23,Four Seasons,24,Walk Like A Man,1963
24,Inez Foxx,25,Mockingbird,1963
25,Little Peggy March,26,I Will Follow Him,1963
26,Chantays,27,Pipeline,1963
27,Jan and Dean,28,Surf City,1963
28,Lesley Gore,29,It’s My Party,1963
29,Eydie Gorme,30,Blame It On The Bossa Nova,1963
30,Dovells,31,You Can’t Sit Down,1963
31,Martha and The Vandellas,32,Heat Wave,1963
32,Randy and The Rainbows,33,Denise,1963
33,Rooftop Singers,34,Walk Right In,1963
34,Jimmy Soul,35,If You Wanna Be Happy,1963
35,Beach Boys,36,Surfer Girl,1963
36,Trini Lopez,37,If I Had A Hammer,1963
37,Tommy Roe,38,Everybody,1963
38,Essex,39,Easier Said Than Done,1963
39,Dion,40,Ruby Baby,1963
40,Los Indios Tabajaras,41,Maria Elena,1963
41,Ruby and The Romantics,42,Our Day Will Come,1963
42,Skeeter Davis,43,I Can’t Stay Mad At You,1963
43,Barbara Lewis,44,"Hello, Stranger",1963
44,Ronettes,45,Be My Baby,1963
45,Roy Orbison,46,Mean Woman Blues,1963
46,Orlons,47,South Street,1963
47,Henry Mancini,48,Days Of Wine And Roses,1963
48,Major Lance,49,The Monkey Time,1963
49,Four Seasons,50,Candy Girl,1963
50,Bill Anderson,51,Still,1963
51,Bobby Vinton,52,Blue On Blue,1963
52,Garnet Mimms and The Enchanters,53,Cry Baby,1963
53,Lou Christie,54,Two Faces Have I,1963
54,Ray Charles,55,Busted,1963
55,Crystals,56,Da Doo Ron Ron,1963
56,Shirelles,57,Foolish Little Girl,1963
57,Lonnie Mack,58,Memphis,1963
58,Roy Orbison,59,In Dreams,1963
59,Kal Winding,60,More,1963
60,Rick Nelson,61,Fools Rush In,1963
61,Brenda Lee,62,Losing You,1963
